Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,volume,issue,DocumentURL,startPage,FindACopy,Database
LOVE AND QUIET LIFE.,"Mr. Raymond's new book belongs, as its sub-title--at once indicative and misleading, since he gives us not separate sketches but one loosely-strung tale--would lead us to suppose, to the favourite class of ""special district"" stories. The rise in popularity of the ""special district"" story is one of the best marked features of recent years, and it might be a nice point of enquiry whether the taste proceeds from renewed interest in humanity at large or from increasing weariness of the humanity best known.",124754535,Magazines," Black, Clementina
Clementina
Clementina Black
Black
Clementina Black", Copyright American Periodicals Series III Feb 1895," 426560901 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124754535?accountid=14709, 46,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=LOVE+AND+QUIET+LIFE.&amp;rft.au=Black%2C+Clementina&amp;rft.aulast=Black&amp;rft.aufirst=Clementina&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=46&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 4 -- No Title,"That some of his critics quarrelled with Mr. Crawford over the minuteness with which they were forced to study two New York families in Katherine Lauderdale, is no reason for prolonging the quarrel into that book's sequel, The Ralstons.",124755096,Magazines,, Copyright American Periodicals Series III Feb 1895," 426560841 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755096?accountid=14709, 50,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+4+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=50&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
EARLY BIBLES OF AMERICA.,"The third edition of this sumptuous book comes to us revised and with a considerable amount of new material, in that sixteen chapters have been added. It now gives a descriptive account of the early Bibles published, not only in the United States and Canada, but in Mexico as well.",124755140,Magazines,, Copyright American Periodicals Series III Feb 1895," 426560941 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755140?accountid=14709, 43,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=EARLY+BIBLES+OF+AMERICA.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=43&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 2 -- No Title,"Professor Raymond, in his somewhat caustic introduction, informs the reader that one object of his book is the education of critics, especially of art critics; and he deplores the fact that few of our philosophers have the necessary artistic training to give them a proper appreciation of the aesthetic, while our critics of art--using the word in its widest sense--are ignorant of philosophy.",124755177,Magazines,, Copyright American Periodicals Series III Feb 1895," 426560811 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755177?accountid=14709, 52,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+2+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=52&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
NEW BOOKS.,A rare occasion it is which brings to the reader's hands within a few weeks of each other two histories of literature as typical as these volumes by M. Lanson and Mr. Robertson.,124755184,Magazines," Matthews, Brander
Brander
Brander Matthews
Matthews
Brander Matthews", Copyright American Periodicals Series III Feb 1895," 426561001 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755184?accountid=14709, 35,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=NEW+BOOKS.%3A+TWO+HISTORIES+OF+LITERATURE.&amp;rft.au=Matthews%2C+Brander&amp;rft.aulast=Matthews&amp;rft.aufirst=Brander&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=35&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 1 -- No Title,,124755203,Magazines,, Copyright American Periodicals Series III Feb 1895," 426560801 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755203?accountid=14709, 53,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+1+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=53&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
PROFESSOR MINTO.,"To many the more interesting part of this volume will be the biography. Professor Knight has no doubt conscientiously carried out his conception of what a brief memoir should be. He has procured recollections of Minto from various friends, and has issued them together with some appreciative comments.",124755221,Magazines,, Copyright American Periodicals Series III Feb 1895," 426560931 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755221?accountid=14709, 44,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=PROFESSOR+MINTO.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=44&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
ALEXANDER III. OF RUSSIA.,"This book is both very timely and very readable. Mr. Lowe, whose account of Prince Bismarck has long been the most popular of any in English, is in the way of learning much of the gossip of Continental capitals, which, if it does not represent the exact truth, at least embodies what is very generally accepted as the truth, and which certainly contains much that is valuable.",124755246,Magazines,, Copyright American Periodicals Series III Feb 1895," 426560951 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755246?accountid=14709, 42,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=ALEXANDER+III.+OF+RUSSIA.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=42&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
TEN-MINUTE SERMONS.,"Dr. Nicoll's indefatigable pen has never shown to better advantage, nor have his large spirituality and keen intellectual insight been wedded to a more noble and exalted end than in the editorial deliverances which always appear on the first page of the British Weekly. Whatever achievements he has made in other fields, and they are remarkable enough to have won him literary renown, it is unquestionable that the best effluence of his deepest thought and personality has been reserved for these columns.",124755262,Magazines,, Copyright American Periodicals Series III Feb 1895," 426560891 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755262?accountid=14709, 47,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=TEN-MINUTE+SERMONS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=47&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
THOMAS HARDY.,"Miss Macdonell is to be congratulated; she has excellently performed a task of which the present writer is in a position to know well the difficulties. She has shown that the works of an eminent living writer can be discussed in set form, without idle eulogy, or impatient prophecy, or effensive censure, or unscholarly and ludicrous disproportion of any sort.",124755264,Magazines," Johnson
Johnson
Johnson
Johnson", Copyright American Periodicals Series III Feb 1895," 426560981 , 5790072 , 41364", review, Feb 1895, English, English,, New York,Feb 1895,The Bookman; a Review of Books and Life (1895-1933),1895,1,1,http://search.proquest.com/docview/124755264?accountid=14709, 37,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=THOMAS+HARDY.&amp;rft.au=Johnson&amp;rft.aulast=Johnson&amp;rft.aufirst=&amp;rft.date=1895-02-01&amp;rft.volume=1&amp;rft.issue=1&amp;rft.spage=37&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
