Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issue,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,volume,DocumentURL,startPage,FindACopy,Database
Review 10 -- No Title,"THIS YEAR Mr. O'Brien's culling of short stories from American magazines celebrates the fifteenth anniversary of its birth, while the O. Henry prize volume is now eleven years old. Both Mr. O'Brien and Dr. Williams, despite their arduous labor at the task of winnowing ""the best"" tales from the thousands published every year, retain their optimism; Mr.",124730591,Magazines," Brickell, Herschel
Herschel
Herschel Brickell
Brickell
HERSCHEL BRICKELL", Copyright American Periodicals Series III Jan 1930," 429488661 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124730591?accountid=14709, 562,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+10+--+No+Title&amp;rft.au=Brickell%2C+Herschel&amp;rft.aulast=Brickell&amp;rft.aufirst=Herschel&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=562&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
ESSAYS AND CRITICISM,"IN A land of sects and causes, where we become philosophers by ignoring all but one minute segment of knowledge and declare our intellectual independence by enlisting under some partisan banner, almost the only adventure left for the discursive reader, tired of the fiction of the day, is to come upon a book of criticism fresh from some anomalous mind that owes no allegiance but to the plenary intelligence itself.",124731140,Magazines," Gass, Bronson
Bronson
Bronson Gass
Gass
BRONSON GASS", Copyright American Periodicals Series III Jan 1930," 429488601 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731140?accountid=14709, 568,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=ESSAYS+AND+CRITICISM&amp;rft.au=Gass%2C+Bronson&amp;rft.aulast=Gass&amp;rft.aufirst=Bronson&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=568&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 11 -- No Title,"AS IN his former book, The Way It Was With Them, Mr. O'Donnell has written a story of a group of ordinary people in Ireland that is beautiful and exciting but never obviously sentimental. It is the story of the boy, Hughie Dalach, a peasant, who grows up on the soil, marries a childhood sweetheart and, after years of fighting against poverty, sees his whole world wrecked by chance circumstances.",124731176,Magazines," Allen, Paul
Paul
Paul Allen
Allen
PAUL ALLEN", Copyright American Periodicals Series III Jan 1930," 429488671 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731176?accountid=14709, 562,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+11+--+No+Title&amp;rft.au=Allen%2C+Paul&amp;rft.aulast=Allen&amp;rft.aufirst=Paul&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=562&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 3 -- No Title,"IT SEEMS to be the new theory that economic changes and battles are the result of the everyday life of the people. What has hitherto been considered background and source material now takes its place as genuine history. If that can be accepted this is a most important book. In any case, it is an interesting one.",124731616,Magazines," Allen, Paul
Paul
Paul Allen
Allen
PAUL ALLEN", Copyright American Periodicals Series III Jan 1930," 429488561 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731616?accountid=14709, 573,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+3+--+No+Title&amp;rft.au=Allen%2C+Paul&amp;rft.aulast=Allen&amp;rft.aufirst=Paul&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=573&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 13 -- No Title,"ONE CLOSES The Good Companions with the conviction that Priestley has written the best book of his career, and written it in happy defiance of all contemporary formulas of novel-manufacture. He has chosen to direct a large number of diverse characters through a sequence of entertaining adventures; he has treated them objectively and told his tale in a robust and satisfying manner.",124731654,Magazines," Kennedy, Leo
Leo
Leo Kennedy
Kennedy
LEO KENNEDY", Copyright American Periodicals Series III Jan 1930," 429488691 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731654?accountid=14709, 560,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+13+--+No+Title&amp;rft.au=Kennedy%2C+Leo&amp;rft.aulast=Kennedy&amp;rft.aufirst=Leo&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=560&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 1 -- No Title,"SINCE it first became a constant manifestation, professionally practised, art in the social scene has had a history that can be viewed in several different ways, like politics, or any other special function. Academically, the history of painting is at bottom a classification, chronologically, of the accepted painters and their most famous paintings, with an occasional recognition of a patron and a fairly consistent avoidance of the essential questions of form.",124731804,Magazines," Bowen, Stirling
Stirling
Stirling Bowen
Bowen
STIRLING BOWEN", Copyright American Periodicals Series III Jan 1930," 429488541 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731804?accountid=14709, 574,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+1+--+No+Title&amp;rft.au=Bowen%2C+Stirling&amp;rft.aulast=Bowen&amp;rft.aufirst=Stirling&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=574&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 2 -- No Title,,124731828,Magazines,, Copyright American Periodicals Series III Jan 1930," 429488551 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731828?accountid=14709, 574,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+2+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=574&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 12 -- No Title,,124731841,Magazines,, Copyright American Periodicals Series III Jan 1930," 429488681 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731841?accountid=14709, 560,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+12+--+No+Title&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=560&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
Review 7 -- No Title,"BERNARD FAY does not belong to the school of fictional biographers. He is neither a little Ludwig nor a little Maurois. He is solid, trustworthy and painstaking, but this does not mean that he isn't readable. His Franklin is a really satisfying book and is worth a dozen of the current run of ""brilliant"" biographies.",124731862,Magazines," GRENVILLE VERNON
GRENVILLE VERNON", Copyright American Periodicals Series III Jan 1930," 429488621 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731862?accountid=14709, 566,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=Review+7+--+No+Title&amp;rft.au=GRENVILLE+VERNON&amp;rft.aulast=GRENVILLE+VERNON&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=566&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
FICTION,"IN Hudson River Bracketed Mrs. Wharton tells how an Illinois boy came to New York, saw, and was very nearly conquered. At the age of twenty-three Vance Weston is a promising writer, with one well-received novel to his credit; his fresh point of view meets with favor in the literary circles of Manhattan and he has a regular job with a recently established review.",124731894,Magazines,, Copyright American Periodicals Series III Jan 1930," 429488711 , 5813992 , 41364", review, Jan 1930,5, English, English, New York,Jan 1930,The Bookman; a Review of Books and Life (1895-1933),1930,70,http://search.proquest.com/docview/124731894?accountid=14709, 559,http://pitt.idm.oclc.org/login?url=http://RT4RF9QN2Y.search.serialssolutions.com/?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Aamericanperiodicals&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.atitle=FICTION&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1930-01-01&amp;rft.volume=70&amp;rft.issue=5&amp;rft.spage=559&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=The+Bookman%3B+a+Review+of+Books+and+Life+%281895-1933%29&amp;rft.issn=&amp;rft_id=info:doi/,American Periodicals
