Book Publisher,Place of Publishing,,,
"Dodd, Mead & Company",New York,,,
D. Appleton & Co.,New York,,,
Thomas Whittaker,New York,,,
G. P. Putnam’s Sons,New York,,,
Drysen & Pfeifer,New York,,,
Harpers,New York,,,
Stone & Kimball,Boston,,,
Harper & Bros.,New York,,,
Macmillan & Co.,New York,,,
Fleming H. Revell Co.,New York,,,
Stone & Kimball,Chicago,,,
The Merriam Co.,New York,,,
George H. Richmond & Co.,New York,,,
Charles Scribner’s Sons,New York,,,
James Pott & Company,New York,,,
Frederick Stokes Co.,,,,
Cassell Publishing Company,New York,,,
"Lovell, Coryell & Co.",New York,,,
Henry Holt & Co.,New York,,,
"Tait, Sons and Co.",,,,
American Book Company,,,,
Roberts Bros.,Boston,,,
Frederick A. Stokes Company,New York,,,
Lawrence & Bullen,London,,,
Frederick A. Stokes Co.,New York,,,
Macmillan & Co.,London,,,
Werner Company,Chicago,,,
J. B. Lippincott Co.,Philadelphia,,,
"Ward, Lock & Bowden, Ltd.",New York,,,
Johnston,London,,,
Fleming H. Revell Co.,Chicago,,,
Macmillan & Co.,Cambridge,,,
"Longmans, Green & Co.",New York,,,
Elkin Mathews,London,,,
The Century Company,New York,,,
"Houghton, Mifflin & Co.",Boston,,,
Lee & Shepard,Boston,,,
T. Fisher Unwin,London,,,
"Little, Brown & Co.",Boston,,,
Copeland & Day,Boston,,,
The Humboldt Publishing Co.,New York,,,
Thomas B. Mosher,"Portland, Maine",,,
Firmin-Didot,Paris,,,
Porter & Coates,Philadelphia,,,
Lothrop Publishing Co.,Boston,,,
"Lamson, Wolffe & Co",Boston,,,
Joseph Knight Co.,Boston,,,
F. Tennyson Neely,Chicago,,,
L. C. Smithers,London,,,
F. A. Stokes Company,New York,,,
Frederick Warne & Co.,New York,,,
T. Y. Crowell & Co.,Boston,,,
Ginn & Co.,Boston,,,
Way & Williams,Chicago,,,
"Swan, Sonnenschein & Co.",London,,,
"Abbey, Henry",New York,,,
Imprimé pour l’Auteur,Québec,,,
